n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
78.0,0.0,lft,2,0.21666666666666667,2876.85,3842267.7275000005,0.1923835254618758
78.0,0.0,lft,3,0.3,131.6,9335.14,0.1923835254618758
78.0,0.0,lft_oplniv,0,0.05,8026.0,0.0,0.18090463945091073
78.0,0.0,lft_oplniv,1,0.13333333333333333,7624.75,3059029.6875,0.18090463945091073
78.0,0.0,lft_oplniv,2,0.21666666666666667,3815.55,2795836.5475,0.18090463945091073
78.0,0.0,lft_oplniv,3,0.3,121.25,9956.2875,0.18090463945091073
78.0,0.0,oplniv,0,0.05,8601.0,0.0,0.3783858877361693
78.0,0.0,oplniv,1,0.13333333333333333,6041.25,25937.4875,0.3783858877361693
78.0,0.0,oplniv,2,0.21666666666666667,1590.8,825642.26,0.3783858877361693
78.0,0.0,oplniv,3,0.3,173.45,12244.8475,0.3783858877361693
45.0,0.55,etngrp,0,0.05,8589.0,0.0,0.45812543304486925
45.0,0.55,etngrp,1,0.13333333333333333,8589.0,0.0,0.45812543304486925
45.0,0.55,etngrp,2,0.21666666666666667,2595.15,2256484.8275,0.45812543304486925
45.0,0.55,etngrp,3,0.3,130.3,19913.409999999996,0.45812543304486925
45.0,0.55,etngrp_geslacht,0,0.05,8581.0,0.0,0.23144591647407312
45.0,0.55,etngrp_geslacht,1,0.13333333333333333,7297.55,9334400.7475,0.23144591647407312
45.0,0.55,etngrp_geslacht,2,0.21666666666666667,3018.15,2693188.5275,0.23144591647407312
45.0,0.55,etngrp_geslacht,3,0.3,194.15,32022.127500000002,0.23144591647407312
45.0,0.55,etngrp_geslacht_lft,0,0.05,7972.0,0.0,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft,1,0.13333333333333333,5979.6,11908974.639999999,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft,2,0.21666666666666667,5183.1,11699157.89,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft,3,0.3,276.55,142975.9475,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft_oplniv,0,0.05,7938.0,0.0,0.0358351895167103
45.0,0.55,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7144.85,5661785.3275,0.0358351895167103
45.0,0.55,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,5250.25,12014981.7875,0.0358351895167103
45.0,0.55,etngrp_geslacht_lft_oplniv,3,0.3,115.7,11939.21,0.0358351895167103
45.0,0.55,etngrp_geslacht_oplniv,0,0.05,8570.0,0.0,0.1060721609694625
45.0,0.55,etngrp_geslacht_oplniv,1,0.13333333333333333,8141.8,3483749.5599999987,0.1060721609694625
45.0,0.55,etngrp_geslacht_oplniv,2,0.21666666666666667,4326.4,4689409.14,0.1060721609694625
45.0,0.55,etngrp_geslacht_oplniv,3,0.3,202.45,41072.14750000001,0.1060721609694625
45.0,0.55,etngrp_lft,0,0.05,7990.0,0.0,0.08637181639362558
45.0,0.55,etngrp_lft,1,0.13333333333333333,7590.55,3031645.7475000005,0.08637181639362558
45.0,0.55,etngrp_lft,2,0.21666666666666667,5329.25,11177004.1875,0.08637181639362558
45.0,0.55,etngrp_lft,3,0.3,164.6,49162.14,0.08637181639362558
45.0,0.55,etngrp_lft_oplniv,0,0.05,7565.85,3011945.0275,0.06990681106920812
45.0,0.55,etngrp_lft_oplniv,1,0.13333333333333333,7566.5,3002118.75,0.06990681106920812
