n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
45.0,0.55,size,lft,2,0.21666666666666667,87.5
45.0,0.55,size,lft,3,0.3,86.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,129.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,93.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,3,0.3,90.0
45.0,0.44,combined_score,geslacht,0,0.05,8599.0
45.0,0.44,combined_score,geslacht,1,0.13333333333333333,4395.0
45.0,0.44,combined_score,geslacht,2,0.21666666666666667,100.0
45.0,0.44,combined_score,geslacht,3,0.3,89.0
45.0,0.44,combined_score,lft,0,0.05,7952.0
45.0,0.44,combined_score,lft,1,0.13333333333333333,7952.0
45.0,0.44,combined_score,lft,2,0.21666666666666667,87.0
45.0,0.44,combined_score,lft,3,0.3,86.0
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,4049.5
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,92.5
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,3,0.3,89.0
45.0,0.44,internal_density,geslacht,0,0.05,8599.0
45.0,0.44,internal_density,geslacht,1,0.13333333333333333,164.0
45.0,0.44,internal_density,geslacht,2,0.21666666666666667,98.5
45.0,0.44,internal_density,geslacht,3,0.3,90.0
45.0,0.44,internal_density,lft,0,0.05,7952.0
45.0,0.44,internal_density,lft,1,0.13333333333333333,7952.0
45.0,0.44,internal_density,lft,2,0.21666666666666667,87.5
45.0,0.44,internal_density,lft,3,0.3,86.0
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7965.0
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,128.5
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,93.5
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,90.5
45.0,0.44,external_exposure_ratio,geslacht,0,0.05,8599.0
45.0,0.44,external_exposure_ratio,geslacht,1,0.13333333333333333,97.5
45.0,0.44,external_exposure_ratio,geslacht,2,0.21666666666666667,86.0
45.0,0.44,external_exposure_ratio,geslacht,3,0.3,86.0
45.0,0.44,external_exposure_ratio,lft,0,0.05,7959.5
45.0,0.44,external_exposure_ratio,lft,1,0.13333333333333333,7960.0
45.0,0.44,external_exposure_ratio,lft,2,0.21666666666666667,150.0
45.0,0.44,external_exposure_ratio,lft,3,0.3,129.5
45.0,0.44,random,etngrp_geslacht_lft_oplniv,0,0.05,7965.0
45.0,0.44,random,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,121.0
45.0,0.44,random,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,92.0
45.0,0.44,random,etngrp_geslacht_lft_oplniv,3,0.3,90.0
45.0,0.44,random,geslacht,0,0.05,8599.0
45.0,0.44,random,geslacht,1,0.13333333333333333,118.0
45.0,0.44,random,geslacht,2,0.21666666666666667,90.0
45.0,0.44,random,geslacht,3,0.3,87.0
45.0,0.44,random,lft,0,0.05,7958.5
45.0,0.44,random,lft,1,0.13333333333333333,7956.0
45.0,0.44,random,lft,2,0.21666666666666667,97.5
45.0,0.44,random,lft,3,0.3,93.5
45.0,0.44,size,etngrp_geslacht_lft_oplniv,0,0.05,7958.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7958.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,3607.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,3,0.3,86.0
45.0,0.44,size,geslacht,0,0.05,8599.0
45.0,0.44,size,geslacht,1,0.13333333333333333,4393.5
45.0,0.44,size,geslacht,2,0.21666666666666667,95.0
45.0,0.44,size,geslacht,3,0.3,89.0
45.0,0.44,size,lft,0,0.05,7952.0
45.0,0.44,size,lft,1,0.13333333333333333,7952.0
45.0,0.44,size,lft,2,0.21666666666666667,87.0
45.0,0.44,size,lft,3,0.3,86.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7934.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,131.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,97.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,3,0.3,93.5
34.0,0.99,combined_score,geslacht,0,0.05,8601.0
34.0,0.99,combined_score,geslacht,1,0.13333333333333333,88.5
