n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
78.0,0.0,random,lft,2,0.15000000000000002,8.5
78.0,0.0,random,lft,3,0.2,8.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,1,0.1,8.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,3,0.2,8.0
78.0,0.0,size,geslacht,0,0.05,8601.0
78.0,0.0,size,geslacht,1,0.1,9.0
78.0,0.0,size,geslacht,2,0.15000000000000002,8.0
78.0,0.0,size,geslacht,3,0.2,8.0
78.0,0.0,size,lft,0,0.05,8047.0
78.0,0.0,size,lft,1,0.1,8.0
78.0,0.0,size,lft,2,0.15000000000000002,8.0
78.0,0.0,size,lft,3,0.2,8.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7938.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,1,0.1,7938.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,10.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,3,0.2,9.0
45.0,0.55,combined_score,geslacht,0,0.05,8595.0
45.0,0.55,combined_score,geslacht,1,0.1,21.5
45.0,0.55,combined_score,geslacht,2,0.15000000000000002,11.0
45.0,0.55,combined_score,geslacht,3,0.2,9.0
45.0,0.55,combined_score,lft,0,0.05,7933.0
45.0,0.55,combined_score,lft,1,0.1,8.0
45.0,0.55,combined_score,lft,2,0.15000000000000002,8.0
45.0,0.55,combined_score,lft,3,0.2,8.0
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7938.0
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,1,0.1,7938.0
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,11.0
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,3,0.2,9.0
45.0,0.55,internal_density,geslacht,0,0.05,8595.0
45.0,0.55,internal_density,geslacht,1,0.1,27.0
45.0,0.55,internal_density,geslacht,2,0.15000000000000002,10.0
45.0,0.55,internal_density,geslacht,3,0.2,8.0
45.0,0.55,internal_density,lft,0,0.05,7933.0
45.0,0.55,internal_density,lft,1,0.1,8.0
45.0,0.55,internal_density,lft,2,0.15000000000000002,8.0
45.0,0.55,internal_density,lft,3,0.2,8.0
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7939.0
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,20.5
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,9.0
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,9.0
45.0,0.55,external_exposure_ratio,geslacht,0,0.05,8595.0
45.0,0.55,external_exposure_ratio,geslacht,1,0.1,8.0
45.0,0.55,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
45.0,0.55,external_exposure_ratio,geslacht,3,0.2,8.0
45.0,0.55,external_exposure_ratio,lft,0,0.05,7934.0
45.0,0.55,external_exposure_ratio,lft,1,0.1,7933.5
45.0,0.55,external_exposure_ratio,lft,2,0.15000000000000002,18.5
45.0,0.55,external_exposure_ratio,lft,3,0.2,15.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,0,0.05,7939.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,1,0.1,14.5
45.0,0.55,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,10.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,3,0.2,9.0
45.0,0.55,random,geslacht,0,0.05,8595.0
45.0,0.55,random,geslacht,1,0.1,19.5
45.0,0.55,random,geslacht,2,0.15000000000000002,10.0
45.0,0.55,random,geslacht,3,0.2,8.0
45.0,0.55,random,lft,0,0.05,7933.0
45.0,0.55,random,lft,1,0.1,13.0
45.0,0.55,random,lft,2,0.15000000000000002,10.0
45.0,0.55,random,lft,3,0.2,8.5
45.0,0.55,size,etngrp_geslacht_lft_oplniv,0,0.05,7938.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,1,0.1,8.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,3,0.2,8.0
45.0,0.55,size,geslacht,0,0.05,8595.0
45.0,0.55,size,geslacht,1,0.1,35.0
45.0,0.55,size,geslacht,2,0.15000000000000002,9.5
45.0,0.55,size,geslacht,3,0.2,9.0
45.0,0.55,size,lft,0,0.05,7933.0
45.0,0.55,size,lft,1,0.1,8.0
45.0,0.55,size,lft,2,0.15000000000000002,8.0
45.0,0.55,size,lft,3,0.2,8.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7958.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,1,0.1,7958.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,14.0
45.0,0.44,combined_score,etngrp_geslacht_lft_oplniv,3,0.2,10.0
45.0,0.44,combined_score,geslacht,0,0.05,8599.0
45.0,0.44,combined_score,geslacht,1,0.1,27.0
45.0,0.44,combined_score,geslacht,2,0.15000000000000002,10.0
45.0,0.44,combined_score,geslacht,3,0.2,10.0
45.0,0.44,combined_score,lft,0,0.05,7952.0
45.0,0.44,combined_score,lft,1,0.1,8.0
45.0,0.44,combined_score,lft,2,0.15000000000000002,8.0
45.0,0.44,combined_score,lft,3,0.2,8.0
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7958.0
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,1,0.1,7958.0
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,14.0
45.0,0.44,internal_density,etngrp_geslacht_lft_oplniv,3,0.2,10.0
45.0,0.44,internal_density,geslacht,0,0.05,8599.0
45.0,0.44,internal_density,geslacht,1,0.1,21.0
45.0,0.44,internal_density,geslacht,2,0.15000000000000002,11.0
45.0,0.44,internal_density,geslacht,3,0.2,8.0
45.0,0.44,internal_density,lft,0,0.05,7952.0
45.0,0.44,internal_density,lft,1,0.1,8.0
45.0,0.44,internal_density,lft,2,0.15000000000000002,8.0
45.0,0.44,internal_density,lft,3,0.2,8.0
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7958.0
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,16.0
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,9.0
45.0,0.44,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,9.0
45.0,0.44,external_exposure_ratio,geslacht,0,0.05,8599.0
45.0,0.44,external_exposure_ratio,geslacht,1,0.1,8.0
